Key,File,Type,UsedInMainMenu,NoTranslate,english,Context / Coverage,german,latam,spanish,french,italian,japanese,koreana,polish,brazilian,russian,turkish,schinese,tchinese
ammoReforge9mmTo762,items,Item,,,Reforge: 9mm to 7.62mm,,,,,,,,,,,,,,
ammoReforge9mmTo762Desc,items,Item,,,Reforge 9mm bullets into 7.62mm ammunition. Requires a workbench and some gunpowder.,,,,,,,,,,,,,,
ammoReforge9mmTo44Magnum,items,Item,,,Reforge: 9mm to .44 Magnum,,,,,,,,,,,,,,
ammoReforge9mmTo44MagnumDesc,items,Item,,,Reforge 9mm bullets into .44 Magnum ammunition. Requires a workbench and some gunpowder.,,,,,,,,,,,,,,
ammoReforge9mmToShotgunShell,items,Item,,,Reforge: 9mm to Shotgun Shells,,,,,,,,,,,,,,
ammoReforge9mmToShotgunShellDesc,items,Item,,,Reforge 9mm bullets into Shotgun Shells. Requires a workbench and paper.,,,,,,,,,,,,,,
ammoReforge762To9mm,items,Item,,,Reforge: 7.62mm to 9mm,,,,,,,,,,,,,,
ammoReforge762To9mmDesc,items,Item,,,Reforge 7.62mm bullets into 9mm ammunition. Requires a workbench and some gunpowder.,,,,,,,,,,,,,,
ammoReforge762To44Magnum,items,Item,,,Reforge: 7.62mm to .44 Magnum,,,,,,,,,,,,,,
ammoReforge762To44MagnumDesc,items,Item,,,Reforge 7.62mm bullets into .44 Magnum ammunition. Requires a workbench and some gunpowder.,,,,,,,,,,,,,,
ammoReforge762ToShotgunShell,items,Item,,,Reforge: 7.62mm to Shotgun Shells,,,,,,,,,,,,,,
ammoReforge762ToShotgunShellDesc,items,Item,,,Reforge 7.62mm bullets into Shotgun Shells. Requires a workbench and paper.,,,,,,,,,,,,,,
ammoReforge44MagnumTo9mm,items,Item,,,Reforge: .44 Magnum to 9mm,,,,,,,,,,,,,,
ammoReforge44MagnumTo9mmDesc,items,Item,,,Reforge .44 Magnum bullets into 9mm ammunition. Requires a workbench and some gunpowder.,,,,,,,,,,,,,,
ammoReforge44MagnumTo762,items,Item,,,Reforge: .44 Magnum to 7.62mm,,,,,,,,,,,,,,
ammoReforge44MagnumTo762Desc,items,Item,,,Reforge .44 Magnum bullets into 7.62mm ammunition. Requires a workbench and some gunpowder.,,,,,,,,,,,,,,
ammoReforge44MagnumToShotgunShell,items,Item,,,Reforge: .44 Magnum to Shotgun Shells,,,,,,,,,,,,,,
ammoReforge44MagnumToShotgunShellDesc,items,Item,,,Reforge .44 Magnum bullets into Shotgun Shells. Requires a workbench and paper.,,,,,,,,,,,,,,
ammoReforgeShotgunShellTo9mm,items,Item,,,Reforge: Shotgun Shells to 9mm,,,,,,,,,,,,,,
ammoReforgeShotgunShellTo9mmDesc,items,Item,,,Reforge Shotgun Shells into 9mm ammunition. Requires a workbench and some gunpowder.,,,,,,,,,,,,,,
ammoReforgeShotgunShellTo762,items,Item,,,Reforge: Shotgun Shells to 7.62mm,,,,,,,,,,,,,,
ammoReforgeShotgunShellTo762Desc,items,Item,,,Reforge Shotgun Shells into 7.62mm ammunition. Requires a workbench and some gunpowder.,,,,,,,,,,,,,,
ammoReforgeShotgunShellTo44Magnum,items,Item,,,Reforge: Shotgun Shells to .44 Magnum,,,,,,,,,,,,,,
ammoReforgeShotgunShellTo44MagnumDesc,items,Item,,,Reforge Shotgun Shells into .44 Magnum ammunition. Requires a workbench and some gunpowder.,,,,,,,,,,,,,,
ammoReforgeArrowToBolt,items,Item,,,Reforge: Iron Arrows to Bolts,,,,,,,,,,,,,,
ammoReforgeArrowToBoltDesc,items,Item,,,Reforge Iron Arrows into Crossbow Bolts. Requires a workbench.,,,,,,,,,,,,,,
ammoReforgeBoltToArrow,items,Item,,,Reforge: Iron Bolts to Arrows,,,,,,,,,,,,,,
ammoReforgeBoltToArrowDesc,items,Item,,,Reforge Iron Crossbow Bolts into Arrows. Requires a workbench.,,,,,,,,,,,,,,
ammoReforgeSteelArrowToBolt,items,Item,,,Reforge: Steel Arrows to Bolts,,,,,,,,,,,,,,
ammoReforgeSteelArrowToBoltDesc,items,Item,,,Reforge Steel Arrows into Crossbow Bolts. Requires a workbench.,,,,,,,,,,,,,,
ammoReforgeSteelBoltToArrow,items,Item,,,Reforge: Steel Bolts to Arrows,,,,,,,,,,,,,,
ammoReforgeSteelBoltToArrowDesc,items,Item,,,Reforge Steel Crossbow Bolts into Arrows. Requires a workbench.,,,,,,,,,,,,,,
